country,countrycode,gold,silver,bronze,total,aquaticsgold,aquaticssilver,aquaticsbronze,artswimgold,artswimsilver,artswimbronze,divinggold,divingsilver,divingbronze,swimminggold,swimmingsilver,swimmingbronze,pologold,polosilver,polobronze,archerygold,archerysilver,archerybronze,athleticsgold,athleticssilver,athleticsbronze,fieldgold,fieldsilver,fieldbronze,trackgold,tracksilver,trackbronze,badmintongold,badmintonsilver,badmintonbronze,baseballgold,baseballsilver,baseballbronze,softballgold,softballsilver,softballbronze,basketballgold,basketballsilver,basketballbronze,threegold,threesilver,threebronze,boxinggold,boxingsilver,boxingbronze,canoeinggold,canoeingsilver,canoeingbronze,slalomgold,slalomsilver,slalombronze,sprintgold,sprintsilver,sprintbronze,cyclinggold,cyclingsilver,cyclingbronze,bmxfreegold,bmxfreesilver,bmxfreebronze,bmxracinggold,bmxracingsilver,bmxracingbronze,mountbikegold,mountbikesilver,mountbikebronze,roadcyclinggold,roadcyclingsilver,roadcyclingbronze,trackcyclinggold,trackcyclingsilver,trackcyclingbronze,equestriangold,equestriansilver,equestrianbronze,dressagegold,dressagesilver,dressagebronze,eventinggold,eventingsilver,eventingbronze,jumpinggold,jumpingsilver,jumpingbronze,fencinggold,fencingsilver,fencingbronze,hockeygold,hockeysilver,hockeybronze
United States Of America,US,24.4,22.5,20.4,67.3,8.7,8,7.2,0,0,0,0.2,0.2,0.3,8.1,7.5,6.7,0.4,0.3,0.2,0.4,0.3,0.2,9.1,8.5,7.8,2.5,2.6,2.9,6.6,5.9,4.9,0,0,0,0,0,0.1,0.5,0.3,0.1,0.6,0.5,0.4,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0,0,0,0.1,0.2,0.2,2.6,2.2,1.9,0.9,0.6,0.4,0.6,0.5,0.5,0.3,0.3,0.3,0.2,0.3,0.3,0.6,0.5,0.4,1.1,1,0.9,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2,1,1,1.2,0,0,0
People's Republic of China,CN,14.7,13.5,12.4,40.6,7.6,7.1,6.3,0.5,0.5,0.4,3.4,2.9,2.1,3.7,3.7,3.8,0,0,0,0.7,0.6,0.7,2.1,2,2,1.1,1.1,1.1,1,0.9,0.9,1.3,1.3,1.2,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0.3,0.3,0.4,0.9,0.6,0.5,0,0,0,0.9,0.6,0.5,0.5,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.7,0.6,0,0,0
Australia,AU,10.4,10.2,9.8,30.4,6.1,5.5,5.3,0,0,0,0.4,0.3,0.5,5.6,5.1,4.6,0.1,0.1,0.2,0,0.1,0.1,0.6,0.5,0.5,0.6,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3,0.4,0,0,0,0.2,0.3,0.3,1.3,1,0.9,1.1,0.8,0.6,0.2,0.2,0.3,1.1,1.4,1.5,0.4,0.5,0.5,0.1,0.1,0.1,0,0,0,0.3,0.3,0.3,0.3,0.5,0.6,0.4,0.5,0.4,0,0,0,0.4,0.4,0.3,0,0.1,0.1,0,0,0,0.3,0.3,0.4
Russian Federation,RU,9.8,9.7,9.5,29,4.5,4.9,5.1,0.8,0.6,0.3,0.5,0.7,0.8,3,3.4,3.8,0.2,0.2,0.2,0.1,0.1,0.1,1.6,1.3,1.1,1.4,1,0.7,0.2,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.6,0.8,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2,1.5,0,0,0
Japan,JP,9.5,9.1,9.1,27.7,3.4,3.5,3.6,0.2,0.2,0.3,0.4,0.5,0.7,2.8,2.7,2.5,0,0.1,0.1,0.3,0.3,0.4,1.2,1.1,1,0,0,0,1.2,1.1,1,1.4,1.3,1.2,0.5,0.3,0.2,0.3,0.3,0.3,0,0,0.1,0.2,0.2,0.2,0.9,0.8,0.7,0.1,0.1,0.2,0,0,0,0.1,0.1,0.2,0.8,0.9,1,0.2,0.3,0.4,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0,0,0
Netherlands,NL,7.2,6.8,6.5,20.5,0.5,0.7,0.9,0,0,0,0,0,0,0.5,0.7,0.9,0,0,0,0.3,0.4,0.4,1.2,1,0.9,0.1,0.1,0.1,1.1,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.4,0,0,0,0,0,0,0,0,0,4.3,3.7,2.9,0,0,0,0.5,0.5,0.5,0,0,0,1.1,1,0.8,2.7,2.2,1.6,0,0.1,0.2,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.6,0.4,0.4
Germany,DE,8.4,8.4,8.7,25.5,1.1,1.2,1.3,0,0,0,0,0.1,0.1,1.1,1.1,1.2,0,0,0,0.1,0,0.1,2,2.1,1.9,1.5,1.5,1.3,0.5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,1.7,1.6,1.6,0.4,0.5,0.6,1.3,1.1,1,1.4,1.7,1.8,0,0.1,0.1,0,0,0,0,0,0,0.2,0.2,0.3,1.2,1.4,1.4,1.7,1.5,1.4,0.9,0.7,0.6,0.5,0.4,0.3,0.3,0.4,0.5,0.2,0.3,0.3,0.2,0.2,0.3
Great Britain,GB,8.4,9,9.6,27,2.5,2.4,2.5,0,0,0,1,0.9,1,1.5,1.5,1.5,0,0,0,0.1,0.2,0.2,2.2,2.1,2.2,0.5,0.4,0.4,1.7,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.9,1,0.7,0.7,0.7,0.3,0.4,0.5,0.4,0.3,0.2,1.1,1.2,1.6,0.1,0.2,0.2,0,0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.8,0.8,1,0.9,0.9,1.1,0.4,0.4,0.4,0.5,0.5,0.6,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1
Republic of Korea,KR,3.6,3.2,2.8,9.6,0.1,0.2,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,1.6,1.3,1.1,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.7,0,0,0
Italy,IT,7.3,7.8,8.2,23.3,3.9,3.8,3.8,0.1,0.1,0.1,0,0,0,3.4,3.4,3.5,0.4,0.3,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0,0,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0,0.1,0.1,0.1,0.1,0.1,0.8,0.7,0.7,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.5,2.8,0,0,0
